Comparison,Parameter multiplier,Added parameters (M),Loss reduction,Loss reduction (%),Perplexity reduction,Perplexity reduction (%)
A → B,2.2831496008570342,9.505408,0.19562701074901012,4.925084049796083,9.433709451246848,17.76811064074121
B → C,1.9805501948764521,16.58432,0.09192655947869888,2.434220320974994,3.8345449094775077,8.782786251746113
A → C,4.521892386909493,26.089728,0.287553570227709,7.2394169740058425,13.268254360724356,24.990361713937265
