Resource basis,Loss-efficiency retained (%),Perplexity-efficiency retained (%)
Added parameters,26.933034110205686,23.297237443648914
Added training time,29.624043191625532,25.62497657902905
Added peak GPU memory,33.16162593377509,28.685007052505608
