Comparison,Parameter multiplier,Wall-time multiplier,Added wall time (min),Peak-memory multiplier,Added peak memory (GiB),Throughput retained (%),Throughput reduction (%)
A → B,2.2831496008570342,1.9991511035653653,11.770000000000001,1.4757085020242915,2.3499999999999996,50.0212314225053,49.97876857749469
B → C,1.9805501948764521,1.7927813163481952,18.669999999999998,1.45679012345679,3.329999999999999,55.77925153955472,44.22074846044528
A → C,4.521892386909493,3.5840407470288627,30.439999999999998,2.149797570850202,5.679999999999999,27.90146849834202,72.09853150165799
