Model,Parameters,Parameters (M),Best validation loss,Best validation perplexity,Best update
A,7407872,7.407872,3.9720542587919865,53.09348665139399,3663
B,16913280,16.91328,3.7764272480429764,43.65977720014714,3663
C,33497600,33.4976,3.6845006885642775,39.82523229066963,3663
