Comparison,Added parameters (M),Added wall time (min),Added peak memory (GiB),Loss reduction,Perplexity reduction,Loss reduction / added M params,PPL reduction / added M params,Loss reduction / added minute,PPL reduction / added minute,Loss reduction / added GiB,PPL reduction / added GiB
A → B,9.505408,11.770000000000001,2.3499999999999996,0.19562701074901012,9.433709451246848,0.020580601142950426,0.9924570782492291,0.01662081654622006,0.8015046262741586,0.0832455364889405,4.014344447339085
B → C,16.58432,18.669999999999998,3.329999999999999,0.09192655947869888,3.8345449094775077,0.005542980325916219,0.23121508204602342,0.004923757872453073,0.20538537276258748,0.027605573417026696,1.1515149878310837
